experiment,method,seed,mean_utility,cew,ruin_prob,surplus_ratio,adaptation_lag,wealth_terminal,theta_std,sharpe,max_drawdown,regime_detection_acc,turnover,theta_stability,mean_welfare,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count
exp1_habit_portfolio,nbo_full_ndu,20290522,-2.798016909226167,-0.9390692258492371,0.0,0.08071700177463553,0.5,0.8635304801451911,8.45899222177242e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290523,-2.8036949443605943,-0.9394142125753908,0.0,0.08065259166470931,0.5,0.8556470357191346,8.54163815326874e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290524,-2.8001836579574135,-0.9392011046011676,0.0,0.08061243086109743,0.5,0.8638951137007524,8.374720670503464e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290525,-2.7883785425807726,-0.938479113416343,0.0,0.08110623696308372,0.5,0.8620773946824275,8.427591174484345e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290526,-2.7964814980099555,-0.9389756001966485,0.0,0.08081872977397633,0.5,0.8613113011269222,8.451414971346522e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290527,-2.7904740077886463,-0.9386078933197107,0.0,0.08088793158622479,0.5,0.8701446331706543,8.334363614146748e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290528,-2.805001145816966,-0.9394932981570648,0.0,0.08059285948388577,0.5,0.8562918801207445,8.494585664308112e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290529,-2.800959713659581,-0.9392482696269167,0.0,0.08070702514294968,0.5,0.8574473101730802,8.40232471640222e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290530,-2.800400007853165,-0.9392142570130362,0.0,0.08067101801894713,0.5,0.8617781271965514,8.58832261022618e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290531,-2.7907496777824874,-0.9386248149488813,0.0,0.08087088769387132,0.5,0.8692753901549517,8.327442358446647e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290532,-2.7996880808240636,-0.9391709665916377,0.0,0.08063112972158026,0.5,0.8644525553024948,8.478936364334687e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290533,-2.798786274547463,-0.939116085845329,0.0,0.08073515366758252,0.5,0.8606689949509686,8.432941373197394e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290534,-2.791107308937137,-0.9386467607027014,0.0,0.08095808358962939,0.5,0.8653547049604041,8.515699916564475e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290535,-2.7984632321688396,-0.9390964145837261,0.0,0.08072814162498687,0.5,0.8614902414673209,8.388699189874973e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290536,-2.7912951306669225,-0.9386582830921227,0.0,0.08087108222789548,0.5,0.8687755313637997,8.377054635890842e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290537,-2.79859022915865,-0.9391041486646298,0.0,0.08070091002212983,0.5,0.8633904745791579,8.266395674346789e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290538,-2.7837346111251717,-0.9381927502250895,0.0,0.08111305830285397,0.5,0.8711105418506483,8.352691350702368e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290539,-2.7956727328024886,-0.938926225821834,0.0,0.08080606630988911,0.5,0.8625165623047392,8.218768319905682e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290540,-2.786287191974897,-0.9383503170406667,0.0,0.08105029975577557,0.5,0.8692430350715509,8.412298657981803e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290541,-2.7919281218342444,-0.9386970995705737,0.0,0.08085145200665433,0.5,0.8684480310880945,8.371056191953194e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_fixed_pref,20290512,-3.1965179520033242,-0.9590956126699638,0.0,0.07387650851304578,0.5,0.8570541266831637,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_fixed_pref,20290513,-3.1755495674678222,-0.9582288582847683,0.0,0.07428976886583079,0.5,0.8725588206260686,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_fixed_pref,20290514,-3.191960579861449,-0.958908770723912,0.0,0.07397274825371557,0.5,0.8604380787730768,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_fixed_pref,20290515,-3.207564137151704,-0.9595449637292189,0.0,0.07362927298056592,0.5,0.851183491211959,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_fixed_pref,20290516,-3.19106779345323,-0.9588720686517995,0.0,0.07391387985526916,0.5,0.8647477671082842,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_fixed_pref,20290517,-3.20067415418074,-0.9592652667710613,0.0,0.07377760651543619,0.5,0.8542254345399998,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_fixed_pref,20290518,-3.195012277661111,-0.9590339775939449,0.0,0.073842317183032,0.5,0.8627226256844527,0.0,,,,,,,,,,,,,
