audit,method,seed,param_dim,policy_evaluations,search_mean_welfare,theta_cost_multiplier,evaluation_variant,mean_welfare,mean_welfare_no_theta_cost,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,theta_mean_abs_deviation_from_one,service_breach_count
theta_cost_sweep_inventory,full_ndu_inventory,8061,12,192,-3.619100050924475,0.0,normal,-3.709328108792258,-3.709328108792258,4.291495326606202,4.291495326606202,0.9996654334767429,0.30359091296085566,7.62062795248983,22.84048826646369,0.16302958189916134,0.17092918797100023,1.8385416666666667
theta_cost_sweep_inventory,full_ndu_inventory,9061,12,192,-3.615101447176569,0.0,normal,-3.7273806868523462,-3.7273806868523462,4.314339795630911,4.314339795630911,0.9994734042223206,0.46870297922643456,8.031513408974005,23.018135407705,0.06452283562035895,0.17574105122537637,1.6276041666666667
theta_cost_sweep_inventory,full_ndu_inventory,10061,12,192,-3.752999883355435,0.0,normal,-3.7634906395773213,-3.7634906395773213,4.356810640381097,4.356810640381097,0.999672812600472,0.29167833691346895,8.559220030841045,22.795900202417215,0.08662021209872998,0.22302049504017152,1.46875
theta_cost_sweep_inventory,full_ndu_inventory,11061,12,192,-3.7775871516221,0.0,normal,-3.7392764943788026,-3.7392764943788026,4.338076924831033,4.338076924831033,0.999674272556529,0.3050029849730865,8.73859455666095,23.05614784496073,0.06413948330898193,0.057252640170825986,1.2864583333333333
theta_cost_sweep_inventory,full_ndu_inventory,12061,12,192,-3.6118035020493444,0.0,normal,-3.7000144802982824,-3.7000144802982824,4.283940979748579,4.283940979748579,0.999484953056287,0.4731467416356267,7.864988361541691,22.876231444698774,0.02657085021551318,0.37332186316882565,1.7317708333333333
theta_cost_sweep_inventory,full_ndu_inventory,13061,12,192,-3.6270705830821406,0.0,normal,-3.688464359027318,-3.688464359027318,4.284796553970915,4.284796553970915,0.9995805868679498,0.37931258749386515,8.506661368605117,22.64479913481094,0.038162918284418916,0.11616932407084939,1.34375
theta_cost_sweep_inventory,full_ndu_inventory,14061,12,192,-3.7124119883793325,0.0,normal,-3.7171219389949477,-3.7171219389949477,4.316311579209432,4.316311579209432,0.9996350331518103,0.33116508588442034,8.568318796644704,23.065612272200013,0.18828134264564444,0.3048440714172571,1.2630208333333333
theta_cost_sweep_inventory,full_ndu_inventory,15061,12,192,-3.694630758710836,0.0,normal,-3.6950952274167554,-3.6950952274167554,4.28878995148454,4.28878995148454,0.9996805905084729,0.3022680013310837,8.296980284814637,23.09424030750917,0.15786114092387615,0.19349871795404436,1.4583333333333333
theta_cost_sweep_inventory,action_only_adaptive_base_stock,8161,7,192,-3.778442147146672,0.0,normal,-3.6875501928609005,-3.6875501928609005,4.281494145288415,4.281494145288415,0.9997898690534394,0.19404044704942033,8.273789011258193,22.83127794836483,0.0,0.0,1.4791666666666667
theta_cost_sweep_inventory,action_only_adaptive_base_stock,9161,7,192,-3.8525828802654374,0.0,normal,-3.669480080916584,-3.669480080916584,4.259087898712582,4.259087898712582,0.9995115240994997,0.44119791150510085,8.099416655040235,22.79198619826955,0.0,0.0,1.5494791666666667
theta_cost_sweep_inventory,action_only_adaptive_base_stock,10161,7,192,-3.6853920305869154,0.0,normal,-3.6745297584100793,-3.6745297584100793,4.2801218000239905,4.2801218000239905,0.999673614576739,0.2982571474589552,8.901378133849834,22.986172348705974,0.0,0.0,1.0598958333333333
theta_cost_sweep_inventory,action_only_adaptive_base_stock,11161,7,192,-3.599309302048206,0.0,normal,-3.743500696147013,-3.743500696147013,4.327626145568256,4.327626145568256,0.9997051343026554,0.268228357812322,8.05718813262133,22.76140252598545,0.0,0.0,1.7838541666666667
theta_cost_sweep_inventory,action_only_adaptive_base_stock,12161,7,192,-3.6615043254071145,0.0,normal,-3.7493817815400106,-3.7493817815400106,4.341050682201192,4.341050682201192,0.9995250188326477,0.4267973329950709,8.517033162989746,23.00896289257632,0.0,0.0,1.484375
theta_cost_sweep_inventory,action_only_adaptive_base_stock,13161,7,192,-3.736038855874284,0.0,normal,-3.7893959036926153,-3.7893959036926153,4.387935567684956,4.387935567684956,0.9998272236240426,0.15279901234271825,8.884439718935953,22.76733090209434,0.0,0.0,1.3359375
