experiment,method,iteration,loss_perf,hjb_loss,terminal_loss,residual_mean_abs,mean_hamiltonian,mean_action,omega,algorithm,backend,initialization,ad_terms
exp2_hidden_regime,nbo_oracle_joint_action,405,0.031296755113334775,0.0015972475192467383,8.108189937066129e-06,0.03295999789162344,-0.031296755113334775,0.000114684;0.25;0.549971,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_oracle_joint_action,450,0.02021295714749723,0.0005081686356247979,4.416676319613307e-06,0.019252172490491146,-0.02021295714749723,0.000114699;0.25;0.550038,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp3_high_dimensional_allocation,nbo_full_ndu,1,0.10189032149791481,7.084444376428936,0.008954943721638698,2.2788072753128854,-0.10189032149791481,1.19976;0.25;0,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp3_high_dimensional_allocation,nbo_full_ndu,45,0.007246330998413988,0.03108157045599329,0.00044679251644049394,0.14581839714902337,-0.007246330998413988,1.19976;0.249951;-1.72791e-05,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp3_high_dimensional_allocation,nbo_full_ndu,90,0.037001604050425595,0.02848602367989131,0.00030543388335001453,0.1410486351053646,-0.037001604050425595,1.19976;0.250001;0.000107217,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp3_high_dimensional_allocation,nbo_full_ndu,135,0.06065883326827567,0.014763621227340535,0.000202224992236907,0.09132422882298989,-0.06065883326827567,1.19976;0.249955;0.000100214,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp3_high_dimensional_allocation,nbo_full_ndu,180,0.08913371023807616,0.019892317516358535,0.0001122015909864287,0.10658450913309418,-0.08913371023807616,1.19976;0.249913;0.000215591,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp3_high_dimensional_allocation,nbo_full_ndu,225,0.06932005720896076,0.00776300836287162,0.00010591588306544265,0.07297252342119695,-0.06932005720896076,1.19976;0.249842;9.75227e-05,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp3_high_dimensional_allocation,nbo_full_ndu,270,0.08431689632796774,0.005842571148413818,0.0001068023596381194,0.06294081711526481,-0.08431689632796774,1.19976;0.249814;0.00023043,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp3_high_dimensional_allocation,nbo_full_ndu,315,0.08381316736797001,0.008439325570255318,0.00012154198411487922,0.07498667775192341,-0.08381316736797001,1.19976;0.249814;0.000207998,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
