audit,epsilon,method,seed,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count,theta_rmse,p_rmse
same_benchmark_inventory_direct_p_vs_z,0.1,direct_p_inventory,29061,-6.3048132904002845,6.942318734512244,0.999995797701495,0.003966079448564787,20.011093339634414,23.31731716040144,0.08203125,0.015151981407934698,0.017962391914535292
same_benchmark_inventory_direct_p_vs_z,0.1,direct_p_inventory,30061,-6.248470056635696,6.886027712993796,0.9999657031385127,0.02900395479164141,19.874323358670516,23.078383413055658,0.072265625,0.015211166616325838,0.01799184621004002
same_benchmark_inventory_direct_p_vs_z,0.1,direct_p_inventory,31061,-6.281447446587968,6.918835074103091,0.9999883948456405,0.009389124872587383,19.941639277290122,23.25007556480548,0.083984375,0.015135180553263817,0.017931791728902434
same_benchmark_inventory_direct_p_vs_z,0.1,direct_p_inventory,32061,-6.250910526648473,6.887855688142323,0.9999770319054813,0.019353927990726195,19.839016035437645,23.109995325576698,0.095703125,0.015083565599678345,0.01787456945081999
same_benchmark_inventory_direct_p_vs_z,0.1,direct_p_inventory,33061,-6.313810395421458,6.95059496842649,0.9999935794381289,0.005029695812939862,20.027097099028897,23.270287399185946,0.10546875,0.015270040761546852,0.018096106699937865
same_benchmark_inventory_direct_p_vs_z,0.1,direct_p_inventory,34061,-6.250415624891149,6.888288133493809,0.9999757627940826,0.02000860255556368,19.86617865556678,23.133577362945523,0.064453125,0.015239365152690422,0.01805234207158221
same_benchmark_inventory_direct_p_vs_z,0.1,direct_p_inventory,35061,-6.357932201353809,6.99467854663606,0.9999814767540314,0.015624854479176206,20.15265523821221,23.352265021243035,0.103515625,0.015309317978888131,0.018136549939552497
same_benchmark_inventory_direct_p_vs_z,0.1,direct_p_inventory,36061,-6.291760350716663,6.928675135803282,0.9999585864170775,0.031122562453731538,19.972978601901435,23.220787056886014,0.091796875,0.015167520140854379,0.017974092384168812
same_benchmark_inventory_direct_p_vs_z,0.1,direct_p_inventory,37061,-6.2647073499143415,6.902066509870716,0.9999628637445468,0.032149701028832016,19.89161125076796,23.11365612226926,0.078125,0.01514130356713188,0.0179496995510471
same_benchmark_inventory_direct_p_vs_z,0.1,direct_p_inventory,38061,-6.266763249772414,6.903644850246247,0.999983735215479,0.013508827639928597,19.883304964561802,23.119181627954376,0.099609375,0.015053373642613997,0.01783307450626809
same_benchmark_inventory_direct_p_vs_z,0.1,z_inversion_inventory,9061,-6.363466967538043,7.000618764469576,0.9999442675851915,0.04848203905123425,20.194814815631556,23.387566700265616,0.080078125,0.033862458535657405,0.040203021540992555
same_benchmark_inventory_direct_p_vs_z,0.1,z_inversion_inventory,10061,-6.330242696859507,6.967143619648528,0.9999788262861277,0.01772632445752939,20.079226247102206,23.325043535581173,0.09765625,0.03364171025988522,0.03990637928300086
same_benchmark_inventory_direct_p_vs_z,0.1,z_inversion_inventory,11061,-6.248575817977962,6.884813649130399,0.9999691820190546,0.02449093510321807,19.820065404174862,22.992363311084873,0.1171875,0.03384466041884006,0.040137439220776325
same_benchmark_inventory_direct_p_vs_z,0.1,z_inversion_inventory,12061,-6.294210617441936,6.931072973352112,0.9999666812075221,0.027463214142445604,19.968499967369922,23.19368398461281,0.095703125,0.03367439075509501,0.03996603857508341
same_benchmark_inventory_direct_p_vs_z,0.1,z_inversion_inventory,13061,-6.326853970276375,6.963683677061938,0.9999626000669454,0.031859829948232464,20.05681161504796,23.292540043694856,0.095703125,0.03362610913045793,0.039886005076378725
same_benchmark_inventory_direct_p_vs_z,0.1,z_inversion_inventory,14061,-6.287105228337879,6.924139378554369,0.9999442101833113,0.048165874800814065,19.96260915227934,23.20834064896645,0.083984375,0.03385021565301305,0.04016202696223084
same_benchmark_inventory_direct_p_vs_z,0.1,z_inversion_inventory,15061,-6.291784081525886,6.929421955019209,0.9999830544991655,0.015614825517626454,19.96008960279336,23.28514837724046,0.07421875,0.03356786466363994,0.039815191982052606
same_benchmark_inventory_direct_p_vs_z,0.1,z_inversion_inventory,16061,-6.2995563107746895,6.936429323413289,0.9999899859548249,0.007939729283571055,19.97809401103357,23.22169879195728,0.1015625,0.03376723225832155,0.040022572739450035
same_benchmark_inventory_direct_p_vs_z,0.1,z_inversion_inventory,17061,-6.326812837489765,6.9639633524336215,0.999958755774232,0.03566914491480966,20.066758295418584,23.33600177884543,0.083984375,0.03406353789401322,0.0404007542599833
same_benchmark_inventory_direct_p_vs_z,0.1,z_inversion_inventory,18061,-6.3275610304348495,6.964896451072337,0.999996517423436,0.0032039704389315166,20.086526335017965,23.314779787561193,0.087890625,0.034094686342736956,0.040455412824897584
same_benchmark_inventory_direct_p_vs_z,0.1,z_inversion_inventory,19061,-6.299073054578961,6.935990911119799,0.9999443219113547,0.044481499252638314,19.97533884896729,23.229789233377165,0.087890625,0.03384892675081856,0.04015112778207321
same_benchmark_inventory_direct_p_vs_z,0.1,z_inversion_inventory,20061,-6.293420225422132,6.930620964081519,0.9999503853011733,0.04175061768205627,19.98254046605718,23.2638374172964,0.080078125,0.03383243615739472,0.04016439904318065
