method,seed,param_dim,cem_iterations,cem_population,policy_evaluations,search_mean_welfare,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,service_breach_count
fixed_service_base_stock,21261,3,8,18,144,-3.7049525548511504,-3.6566006729017926,4.255751128993374,0.9997937093551978,0.191813513401398,8.451700772427543,22.86613884490097,0.0,1.306640625
fixed_service_base_stock,22261,3,8,18,144,-3.6567817071007576,-3.720071987677916,4.318227609394662,0.9995521675583434,0.41508386270885644,8.689411505551114,22.838534982214988,0.0,1.275390625
fixed_service_base_stock,23261,3,8,18,144,-3.753197552263835,-3.7575261714297135,4.347859353416854,0.9996583469671425,0.31135411234692967,8.362529135727526,22.9409289508792,0.0,1.564453125
fixed_service_base_stock,24261,3,8,18,144,-3.6885983950579626,-3.7206207821298594,4.314277810567686,0.9996856441797283,0.28396462466452,8.426056633817009,22.81173548920262,0.0,1.4609375
fixed_service_base_stock,25261,3,8,18,144,-3.8590935232124313,-3.822384009783317,4.401054023018743,0.9995407829044283,0.4104722419037165,7.942383816665528,23.004051571937737,0.0,1.921875
fixed_service_base_stock,26261,3,8,18,144,-3.737368639992344,-3.7048310275997762,4.302801566244959,0.999785379830648,0.19072397647307904,8.494803500548944,22.931910732935286,0.0,1.34375
fixed_service_base_stock,27261,3,8,18,144,-3.7163653258080096,-3.7160839619201944,4.307232045150689,0.999811479153812,0.1721852397886866,8.135545302597468,22.97924117460579,0.0,1.578125
fixed_service_base_stock,28261,3,8,18,144,-3.640809878053309,-3.748093269843008,4.342498164108459,0.9997498305331816,0.2339378883892949,8.475638227390766,22.948252580244315,0.0,1.453125
fixed_service_base_stock,29261,3,8,18,144,-3.7351240218037733,-3.7226953021850337,4.314230478266641,0.9996767602914509,0.30121723747439955,8.216044145639174,22.930204742680743,0.0,1.529296875
fixed_service_base_stock,30261,3,8,18,144,-3.6826009839834204,-3.774938893187888,4.360795930178028,0.9996627936862676,0.30221858865080414,8.250163525937758,22.772539301144466,0.0,1.71484375
valuation_only_service_rule,1361,6,9,22,198,-3.8175523750111613,-3.749370065071437,4.352521511738413,0.9996346534896221,0.31707072230195016,9.052033358370194,22.936520827406262,0.13507058043334402,1.130859375
